date,ticker,mentioned_posts,raw_occurrences,post_mentions,quote_mentions,reply_mentions
2025-07-02,BTC,1,1,1,0,0
2025-07-02,BULL,1,1,1,0,0
2025-07-02,COIN,1,1,0,0,1
2025-07-02,ETORO,2,2,1,0,1
2025-07-02,HOOD,1,1,1,0,0
2025-07-02,IBIT,1,1,1,0,0
2025-07-02,MARA,1,1,0,0,1
2025-07-02,MSTR,1,1,0,0,1
2025-07-02,OSCR,1,1,1,0,0
2025-07-02,UPWK,1,1,1,0,0
2025-07-03,BKKT,1,1,1,0,0
2025-07-03,BKSY,2,2,1,0,1
2025-07-03,BULL,2,2,1,0,1
2025-07-03,CRCL,1,1,1,0,0
2025-07-03,GME,1,1,0,0,1
2025-07-03,GOOGL,1,1,0,0,1
2025-07-03,PL,1,1,0,0,1
2025-07-03,RDW,1,1,0,0,1
2025-07-03,RKLB,1,1,0,0,1
2025-07-03,SG,1,1,0,0,1
2025-07-03,SRPT,1,1,0,0,1
2025-07-03,TSSI,1,1,1,0,0
2025-07-03,UNH,1,1,0,0,1
2025-07-07,BULL,1,1,1,0,0
2025-07-07,GME,2,2,1,0,1
2025-07-07,HIMS,1,1,1,0,0
2025-07-07,SG,2,2,1,0,1
2025-07-21,ALAB,3,3,1,2,0
2025-07-21,CRDO,1,1,0,1,0
2025-07-21,CREDO,1,1,0,0,1
2025-07-21,CRWV,1,1,0,1,0
2025-07-21,NBIS,1,1,0,1,0
2025-07-21,UPWK,1,1,0,1,0
2025-07-22,ALAB,1,1,0,0,1
2025-07-22,DNUT,2,2,1,0,1
2025-07-22,KSS,1,1,1,0,0
2025-07-22,OPEN,1,1,0,0,1
2025-07-22,RKT,2,2,1,0,1
2025-07-28,6557,1,1,0,0,1
2025-07-28,ALAB,1,1,0,1,0
2025-07-28,AMZN,2,2,1,1,0
2025-07-28,APPL,1,1,1,0,0
2025-07-28,DJT,2,2,0,1,1
2025-07-28,GOOGL,2,3,1,1,0
2025-07-28,HIMS,1,1,0,0,1
2025-07-28,IBIT,2,2,0,1,1
2025-07-28,META,2,2,1,1,0
2025-07-28,MSFT,2,2,1,1,0
2025-07-28,NVDA,2,2,1,1,0
2025-07-28,PLTR,1,1,0,1,0
2025-07-28,SPOT,1,1,1,0,0
2025-07-31,BULL,1,1,1,0,0
2025-07-31,HOOD,1,1,1,0,0
2025-07-31,KSPI,1,2,1,0,0
2025-07-31,SOFI,1,1,1,0,0
2025-08-06,UPWK,2,2,0,1,1
2025-08-23,CRCL,1,1,1,0,0
2025-08-23,CRWV,1,1,1,0,0
2025-08-23,DUOL,1,1,1,0,0
2025-08-23,ETOR,1,1,1,0,0
2025-08-23,GOOGL,1,1,0,1,0
2025-08-23,HIMS,1,1,1,0,0
2025-08-23,NVO,2,2,1,1,0
2025-08-23,PLTR,1,1,1,0,0
2025-08-23,SG,1,1,1,0,0
2025-08-23,SNAP,1,1,1,0,0
2025-08-23,UNH,2,2,1,1,0
2025-08-23,UPWK,1,1,0,1,0
2025-08-25,COIN,1,1,1,0,0
2025-08-25,CRCL,1,1,1,0,0
2025-08-25,DUOL,1,1,1,0,0
2025-08-25,GOOGL,1,1,1,0,0
2025-08-25,HIMS,1,2,1,0,0
2025-08-25,HOOD,1,1,1,0,0
2025-08-25,IBIT,1,1,0,1,0
2025-08-25,IONQ,1,1,1,0,0
2025-08-25,KSPI,1,1,1,0,0
2025-08-25,MRVL,1,1,1,0,0
2025-08-25,MSTR,1,1,1,0,0
2025-08-25,NVDA,1,1,1,0,0
2025-08-25,NVO,1,1,1,0,0
2025-08-25,OKLO,1,1,1,0,0
2025-08-25,PLTR,1,1,1,0,0
2025-08-25,SG,1,1,1,0,0
2025-08-25,SNAP,1,1,1,0,0
2025-08-25,TSLA,1,1,1,0,0
2025-08-25,UNH,1,1,1,0,0
2025-08-25,UPWK,1,1,1,0,0
2025-08-30,BKKT,1,1,1,0,0
2025-08-30,BMBL,1,1,1,0,0
2025-08-30,CREDO,1,1,1,0,0
2025-08-30,CRWV,1,1,1,0,0
2025-08-30,DJT,1,1,1,0,0
2025-08-30,HIMS,1,1,1,0,0
2025-08-30,IREN,1,1,0,0,1
2025-08-30,RKLB,1,1,1,0,0
2025-08-30,TSSI,1,1,1,0,0
2025-08-30,UPWK,1,1,1,0,0
2025-09-02,MRVL,1,1,1,0,0
2025-09-03,CIFR,1,1,1,0,0
2025-09-03,CLSK,1,1,1,0,0
2025-09-03,CRWV,2,2,1,1,0
2025-09-03,HIMS,1,1,0,1,0
2025-09-03,HUT,1,1,1,0,0
2025-09-03,IREN,2,2,1,1,0
2025-09-03,MARA,1,1,1,0,0
2025-09-03,NBIS,1,1,1,0,0
2025-09-03,RIOT,1,1,1,0,0
2025-09-03,RKLB,1,1,0,1,0
2025-09-03,UPWK,2,2,0,1,1
2025-09-03,WULF,1,1,0,1,0
2025-09-05,BULL,1,1,0,1,0
2025-09-05,GOOGL,1,1,0,0,1
2025-09-05,HOOD,3,3,0,2,1
2025-09-05,UNH,1,1,0,0,1
2025-09-05,UPWK,1,1,0,0,1
2025-09-08,ALAB,2,2,1,1,0
2025-09-08,APP,1,1,1,0,0
2025-09-08,CREDO,3,4,1,1,1
2025-09-08,HIMS,1,1,1,0,0
2025-09-08,HOOD,2,2,1,0,1
2025-09-08,IREN,1,1,0,0,1
2025-09-08,MARA,1,1,0,0,1
2025-09-08,NBIS,1,1,0,0,1
2025-09-08,RIOT,1,1,0,0,1
2025-09-08,RKLB,2,2,1,0,1
2025-09-08,SG,3,4,1,0,2
2025-09-08,SMCI,1,1,0,0,1
2025-09-08,TSM,1,1,0,0,1
2025-09-08,WYFI,1,1,0,0,1
2025-09-09,ALAB,2,2,0,2,0
2025-09-09,AVGO,1,1,0,1,0
2025-09-09,CREDO,2,2,0,2,0
2025-09-09,HIMS,3,4,0,1,2
2025-09-09,HOOD,2,2,0,1,1
2025-09-09,LULU,1,1,0,1,0
2025-09-09,MRVL,3,3,0,3,0
2025-09-09,MSTR,1,1,0,1,0
2025-09-09,NBIS,5,5,1,3,1
2025-09-09,ORCL,1,1,0,0,1
2025-09-09,SG,2,2,0,2,0
2025-09-09,SMCI,3,3,0,3,0
2025-09-09,TSM,1,1,0,1,0
2025-09-09,TSSI,4,4,0,3,1
2025-09-09,UNH,2,2,0,2,0
2025-09-10,ADBE,1,1,0,0,1
2025-09-10,ALAB,1,1,0,1,0
2025-09-10,AMC,1,1,0,1,0
2025-09-10,APPL,1,1,1,0,0
2025-09-10,ASTS,1,1,0,1,0
2025-09-10,AVGO,2,2,0,2,0
2025-09-10,CREDO,1,1,0,1,0
2025-09-10,CRWV,1,1,0,1,0
2025-09-10,ETOR,1,1,0,1,0
2025-09-10,GME,1,1,0,1,0
2025-09-10,GOOG,1,1,0,1,0
2025-09-10,HIMS,5,5,0,3,2
2025-09-10,HOOD,1,1,0,1,0
2025-09-10,IREN,2,2,0,2,0
2025-09-10,MRVL,1,1,0,1,0
2025-09-10,MSFT,1,1,0,1,0
2025-09-10,NBIS,7,8,0,5,2
2025-09-10,NVDA,2,2,0,2,0
2025-09-10,ORCL,1,1,0,1,0
2025-09-10,RKLB,1,1,0,1,0
2025-09-10,SG,1,1,0,0,1
2025-09-10,SMCI,2,2,0,2,0
2025-09-10,SNAP,1,1,0,0,1
2025-09-10,STZ,1,1,0,0,1
2025-09-10,TSM,4,4,0,4,0
2025-09-10,TSSI,3,3,0,3,0
2025-09-10,UPWK,1,1,0,0,1
2025-09-10,WYFI,1,1,0,1,0
2025-09-11,ALAB,1,1,1,0,0
2025-09-11,AMD,2,2,0,1,1
2025-09-11,AMZN,1,1,0,1,0
2025-09-11,AVGO,1,1,0,1,0
2025-09-11,CRDO,1,1,1,0,0
2025-09-11,CRWV,1,1,0,1,0
2025-09-11,GOOGL,1,1,0,1,0
2025-09-11,HIMS,3,3,1,0,2
2025-09-11,HOOD,3,3,1,0,2
2025-09-11,IREN,2,2,1,1,0
2025-09-11,LTC,2,2,1,0,1
2025-09-11,NBIS,2,2,1,1,0
2025-09-11,NVDA,1,1,0,1,0
2025-09-11,ORCL,1,1,0,1,0
2025-09-11,PLTR,1,1,0,0,1
2025-09-11,SOL,1,1,0,0,1
2025-09-11,TSM,2,2,0,1,1
2025-09-11,UPWK,1,1,0,0,1
2025-09-11,WYFI,1,1,0,1,0
2025-09-11,XRP,1,1,0,0,1
2025-09-12,GME,1,1,0,1,0
2025-09-12,HIMS,1,1,0,1,0
2025-09-12,OPEN,1,1,0,1,0
2025-09-13,1600,1,1,0,1,0
2025-09-13,4800,1,1,0,1,0
2025-09-14,1600,1,1,0,0,1
2025-09-14,4800,1,1,0,0,1
2025-09-14,BMNR,3,6,0,1,2
2025-09-14,BULL,1,1,0,0,1
2025-09-14,CRCL,1,1,0,0,1
2025-09-14,DUOL,1,1,0,0,1
2025-09-14,ETH,4,8,0,2,2
2025-09-14,GOOGL,1,1,0,1,0
2025-09-14,HIMS,3,3,0,2,1
2025-09-14,HOOD,1,2,0,1,0
2025-09-14,IREN,1,1,0,1,0
2025-09-14,LTC,1,1,0,1,0
2025-09-14,LULU,1,1,0,0,1
2025-09-14,MSFT,2,2,0,1,1
2025-09-14,NBIS,3,3,0,2,1
2025-09-14,OKLO,1,1,0,0,1
2025-09-14,ORCL,1,1,0,0,1
2025-09-14,OSCR,1,1,0,1,0
2025-09-14,QBTS,1,1,0,0,1
2025-09-14,RDDT,3,3,0,2,1
2025-09-14,RKLB,1,1,0,1,0
2025-09-14,RUM,1,1,0,1,0
2025-09-14,SMCI,1,1,0,1,0
2025-09-14,SOL,1,1,0,1,0
2025-09-14,UPWK,1,1,0,1,0
2025-09-15,HIMS,1,1,0,0,1
2025-09-15,TSLA,1,1,0,0,1
2025-09-16,ALAB,2,2,1,0,1
2025-09-16,AMC,1,1,0,0,1
2025-09-16,AMZN,1,1,1,0,0
2025-09-16,ASTS,1,1,1,0,0
2025-09-16,AVGO,1,1,0,0,1
2025-09-16,BABA,1,1,0,0,1
2025-09-16,BMNR,1,1,1,0,0
2025-09-16,BTBT,1,1,1,0,0
2025-09-16,BTC,1,1,0,0,1
2025-09-16,BULL,3,3,0,2,1
2025-09-16,COIN,2,3,0,1,1
2025-09-16,CRCL,2,4,0,1,1
2025-09-16,CRDO,1,1,1,0,0
2025-09-16,DAVE,1,1,1,0,0
2025-09-16,DELL,1,1,1,0,0
2025-09-16,DJT,1,1,0,0,1
2025-09-16,DLO,1,1,1,0,0
2025-09-16,ETH,1,1,0,0,1
2025-09-16,ETOR,3,3,1,1,1
2025-09-16,GME,2,2,0,0,2
2025-09-16,GOOGL,1,1,0,0,1
2025-09-16,HIMS,8,10,1,3,4
2025-09-16,HOOD,3,3,1,2,0
2025-09-16,IBIT,1,1,1,0,0
2025-09-16,IBKR,2,2,1,0,1
2025-09-16,IREN,1,1,1,0,0
2025-09-16,JD,2,2,0,0,2
2025-09-16,LTC,2,2,1,0,1
2025-09-16,LULU,1,1,1,0,0
